date,type,registration,operator,fatalities,location,country,cat,year
01-Jun-99,DC-9-82 (MD-82),N215AA,American Airlines,11.0,Little Rock Nati...,USA,A1,1999
03-Jun-99,Antonov An-32,Unknown,Sudan AF,50.0,near Khartoum,Sudan,A1,1999
09-Jun-99,Boeing 737-3Y0,B-2525,China Southern,0.0,Zhanjiang Airpor...,China,A1,1999
09-Jun-99,BN-2A-21Â Islander,RP-C471,Pacific Airways,1.0,near Coron Airport (XCN),Philippines,A1,1999
11-Jun-99,Lockheed Hercules C.1 (C-130K),XV298,RAF,0.0,Kukes,Albania,A1,1999
12-Jun-99,Boeing 737,Unknown,Xiamen Airlines,0.0,Unknown,China,H2,1999
14-Jun-99,Beech A100 King Air,C-GASW,Thunder Airlines,0.0,Thunder Bay Airp...,Canada,A1,1999
17-Jun-99,Embraer EMB-110P2 Bandeirante,P2-ALX,Airlink,17.0,near Goroka,P.N. Guinea,A1,1999
19-Jun-99,Harbin Yunshuji Y-11,B-3886,Xinjiang General Aviation,0.0,within Xinjiang Province,China,A1,1999
22-Jun-99,CASA C-212 Aviocar 100,F-GOBP,Boogie Performance,2.0,near Agen-La Garenne ...,France,A1,1999
22-Jun-99,Antonov An-2T,LY-ASA,private,0.0,Porthcurno Airstrip,U.K.,A1,1999
25-Jun-99,DHC-3 Otter,C-FIFP,Blue Water Aviation Services,1.0,"Long Haul Lake, MB",Canada,A2,1999
30-Jun-99,Beech 99,D-IBEX,Nightexpress,2.0,Seraing,Belgium,A1,1999
30-Jun-99,BN-2T Islander AL.1,ZG994,British Army,0.0,Middle Wallop Ar...,U.K.,A1,1999
??-JUN-1999,Tupolev Tu-154M,RA-85795,Unknown,0.0,Chengdu Airport ...,China,A2,1999
01-Jul-99,Antonov An-12B,TN-AFR,Savanair (Angola),1.0,Luzamba,Angola,C1,1999
01-Jul-99,Learjet 60,N219FX,Bombardier Business Jet Solutions,0.0,Hyannis-Barnstab...,USA,A2,1999
02-Jul-99,Fokker F-27 Friendship 600,XY-AEO,Myanma Airways,8.0,near Sittwe-Civil Air...,Myanmar,A1,1999
04-Jul-99,Douglas DC-6A,HK-1776,LANC Colombia,4.0,Villavicencio-La...,Colombia,A1,1999
07-Jul-99,Boeing 727-243F,VT-LCI,"Hinduja, opf",5.0,near Kathmandu-Tribhu...,Nepal,A1,1999
09-Jul-99,Hawker Siddeley HS-125-1A-522,XA-TAL,Aero Jet Express,4.0,Toluca Airport (...,Mexico,A1,1999
15-Jul-99,Airbus A300B4-605R,N80057,American Airlines,0.0,New York-John F....,USA,A2,1999
20-Jul-99,Cessna 208B Grand Caravan,YN-CED,La Costena,16.0,near Bluefields,Nicaragua,A1,1999
23-Jul-99,Boeing 747-481D,JA8966,All Nippon,1.0,near Tokyo,Japan,H2,1999
23-Jul-99,DHC-7-102 (O-5A),N5382W,US Army,7.0,near Orito,Colombia,A1,1999
24-Jul-99,Embraer EMB-110P1 Bandeirante,DQ-AFN,Air Fiji,17.0,near Delailasakau,Fiji,A1,1999
26-Jul-99,Ilyushin Il-76TD,RA-76819,Elf Air,0.0,Irkutsk Airport ...,Russia,A1,1999
26-Jul-99,Let L-410UVP-E9,5H-PAB,Precision Air,0.0,Arusha Airport (...,Tanzania,A1,1999
28-Jul-99,Fairchild SA227-AC Metro III,SX-BGG,Kal Aviation,0.0,near Rhodes/Paradisi-...,Greece,A1,1999
28-Jul-99,Hawker Siddeley HS-748,TN-AGA,Air Espace,0.0,near Brazzaville,Congo,A2,1999
29-Jul-99,Boeing 747-269B,N707CK,Kitty Hawk International,0.0,near Anchorage Intern...,USA,A2,1999
30-Jul-99,Beech 1900D,YV-466C,Avior,0.0,Arauca-Santiago ...,Colombia,H2,1999
??-JUL-1999,Curtiss C-46A,CP-746,SAO,0.0,Unknown,Bolivia,A1,1999
